# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AlsingReconstruction_model
# start_datetime = 2025-04-13 00:17:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/by/tlp8gdq17q72kgysbfmtlzp40000gn/T/tmpatiag3zh/mcmhi3tp.json
# init = 2 (Default)
# random
#   seed = 78945
# output
#   file = /Users/aryannaschiebelbein/Library/CloudStorage/OneDrive-UniversityofToronto/AlsingNSMassReplication_gaps/aryanna/debug_output/AlsingReconstruction-20250412201700_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=AlsingReconstruction.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,dmmax,As.1,As.2,delta_mus.1,delta_mus.2,delta_mus.3,sigmas.1,sigmas.2,mp_gaussian_raw.1,mp_gaussian_raw.2,mp_gaussian_raw.3,mp_gaussian_raw.4,mp_gaussian_raw.5,mp_gaussian_raw.6,mp_gaussian_raw.7,mp_gaussian_raw.8,mp_gaussian_raw.9,mp_gaussian_raw.10,mp_gaussian_raw.11,mp_gaussian_raw.12,mp_gaussian_raw.13,mp_mt_raw.1,mp_mt_raw.2,mp_mt_raw.3,mp_mt_raw.4,mp_mt_raw.5,mp_mt_raw.6,mp_mt_raw.7,mp_mt_raw.8,mt_raw.1,mt_raw.2,mt_raw.3,mt_raw.4,mt_raw.5,mt_raw.6,mt_raw.7,mt_raw.8,mmax,mus.1,mus.2,log_norms.1,log_norms.2,mp_gaussian.1,mp_gaussian.2,mp_gaussian.3,mp_gaussian.4,mp_gaussian.5,mp_gaussian.6,mp_gaussian.7,mp_gaussian.8,mp_gaussian.9,mp_gaussian.10,mp_gaussian.11,mp_gaussian.12,mp_gaussian.13,mp_mt.1,mp_mt.2,mp_mt.3,mp_mt.4,mp_mt.5,mp_mt.6,mp_mt.7,mp_mt.8,mp_mt_logjac.1,mp_mt_logjac.2,mp_mt_logjac.3,mp_mt_logjac.4,mp_mt_logjac.5,mp_mt_logjac.6,mp_mt_logjac.7,mp_mt_logjac.8,mt.1,mt.2,mt.3,mt.4,mt.5,mt.6,mt.7,mt.8,mp_draw,x
# Adaptation terminated
# Step size = 0.0498272
# Diagonal elements of inverse mass matrix:
# 6.81297, 0.486208, 0.00906548, 3.0889, 0.421295, 0.789972, 0.969841, 0.63061, 1.01634, 0.952595, 1.05608, 0.790789, 0.972061, 0.641083, 0.817309, 0.917836, 1.00371, 1.00179, 0.424116, 4.00042, 3.99428, 1.5794, 6.23811, 2.33493, 0.614485, 4.28722, 2.14878, 1.472, 1.03848, 1.52087, 1.0021, 1.38018, 1.51617, 0.523312, 1.20123
68.2076,0.89979,0.0498272,6,127,0,-40.6303,0.0252848,0.606041,0.393959,0.361777,0.512547,0.125676,0.0868997,0.307473,0.579023,-0.0237236,-0.721888,0.254113,0.755462,0.631774,-1.9616,-0.779872,-1.35213,0.49301,-0.477074,0.179628,-0.779135,0.838853,0.99073,0.869347,0.984545,0.818338,0.884211,0.827437,0.844667,0.48599,1.33627,0.124365,0.347686,1.24663,0.608253,1.64698,0.299983,1.62529,1.36178,2.1306,-0.00121373,-2.99275,1.36379,1.4081,1.59834,1.36603,1.43995,1.56216,1.29815,1.20321,1.30713,1.34445,1.33777,1.34069,1.27767,1.36087,1.3362,1.53743,1.21965,1.40628,1.60001,1.29461,1.35743,0.483846,0.299144,0.570124,0.214138,0.541425,0.593069,0.447634,0.474408,2.54869,2.55345,2.71839,2.55043,2.69466,2.63825,2.79409,2.58983,1.323,0.160605
60.843,0.822083,0.0498272,6,63,0,-40.4888,0.968919,0.560868,0.439132,0.325859,0.0956785,0.578462,0.0208671,0.124407,-1.49306,-1.49143,0.697517,-0.764814,-0.98122,0.22309,2.46242,1.45539,1.18175,-0.660743,0.441233,-0.371879,-1.04338,0.895254,0.971787,0.808735,0.997648,0.94848,0.897736,0.992377,0.810777,0.570888,0.905218,0.755588,3.21113,0.0148722,0.293486,0.447423,0.544267,2.60984,1.32586,1.46938,0,-2.42678e-20,1.34307,1.29069,1.64093,1.36389,1.4396,1.56012,1.31585,1.33732,1.335,1.33637,1.33841,1.34041,1.25653,1.45364,1.29917,1.43051,1.29236,1.54153,1.61778,1.30271,1.31185,0.484718,0.290347,0.570315,0.258825,0.485667,0.588935,0.272097,0.4812,2.55056,2.53621,2.71883,2.63633,2.57149,2.6288,2.43423,2.60449,1.55392,0.436331
62.6081,0.702882,0.0498272,6,63,0,-44.2192,0.0393291,0.377975,0.622025,0.34461,0.0714442,0.583946,0.010825,0.151275,-0.0449417,0.166137,0.740408,0.447193,1.20415,1.89497,-1.02677,1.62232,0.944509,0.162271,1.20389,2.61267,0.454018,0.875552,0.99754,0.824134,0.91615,0.991135,0.71557,0.964792,0.832631,1.4276,0.871998,1.26447,0.180426,0.048775,2.00613,0.971866,0.286449,1.68154,1.34461,1.45178,-5.49352e-213,-0.0665655,1.35755,1.42329,1.64221,1.36644,1.44004,1.56847,1.30189,1.34734,1.33239,1.34214,1.33894,1.34191,1.37632,1.43416,1.33269,1.45797,1.1319,1.61339,1.31859,1.37215,1.33758,0.493479,0.289666,0.57047,0.211473,0.48724,0.611238,0.352225,0.474031,2.56941,2.53488,2.71919,2.54541,2.57488,2.68018,2.59156,2.58902,1.33859,0.596957
64.3736,0.331308,0.0498272,6,63,0,-49.6574,0.107652,0.289765,0.710235,0.344346,0.125764,0.52989,0.0135373,0.216667,-0.108943,0.213863,0.319686,0.336113,0.972814,1.34462,-0.57732,0.921919,1.12925,0.359329,1.18829,2.29167,0.331336,0.917041,0.992379,0.852372,0.92755,0.983335,0.767143,0.976195,0.827892,1.28163,1.03695,0.605563,0.135334,0.0307525,1.94674,0.785247,0.230455,1.73724,1.34435,1.53299,-1.67661e-185,-0.189852,1.35691,1.42711,1.62959,1.36621,1.43999,1.56572,1.30369,1.30532,1.33442,1.34352,1.33893,1.34175,1.36651,1.49988,1.33028,1.50763,1.14516,1.59935,1.41254,1.35022,1.3279,0.491991,0.293042,0.57027,0.210753,0.486404,0.610472,0.32436,0.472467,2.5662,2.54148,2.71872,2.54406,2.57308,2.6784,2.53557,2.58566,1.6339,0.283142
69.5013,0.923316,0.0498272,6,63,0,-44.4692,0.00466696,0.745088,0.254912,0.315797,0.427723,0.25648,0.0446054,0.182343,0.468774,2.3298,-1.54937,-0.250265,-0.359071,-1.86368,-1.07137,0.444465,0.395537,-1.72155,1.25918,-0.278269,-0.0502,0.801066,0.992506,0.828301,0.990261,0.952953,0.738675,0.956361,0.808251,0.800474,1.45668,0.756085,1.78365,0.256644,0.198259,0.620567,1.52684,1.60105,1.3158,1.95738,-8.02404e-11,-3.67536,1.36269,1.59638,1.57352,1.36497,1.43973,1.54968,1.30171,1.27667,1.32635,1.32895,1.33898,1.34046,1.33598,1.30377,1.34187,1.46512,1.2548,1.56619,1.32948,1.2899,1.34343,0.487073,0.301589,0.570315,0.236765,0.496836,0.587682,0.299185,0.508105,2.55561,2.55827,2.71883,2.59351,2.59566,2.62595,2.48617,2.66344,1.3326,0.263505
61.7988,0.675579,0.0498272,6,63,0,-45.7539,0.562263,0.536201,0.463799,0.330132,0.256937,0.412931,0.0321587,0.299803,-1.65904,0.45703,0.892035,0.445284,1.70791,-0.685531,1.80221,0.360359,-0.929197,0.202681,0.780056,-0.622071,-0.155581,0.822471,0.949902,0.947776,0.981051,0.996424,0.746203,0.9241,0.813122,0.946692,0.208399,1.25125,0.086991,0.349875,0.0705607,0.84071,0.317852,2.23896,1.33013,1.71554,-5.23173e-176,-0.0412532,1.34141,1.44656,1.64676,1.36644,1.44014,1.55557,1.31321,1.27162,1.31178,1.34242,1.33865,1.34029,1.32755,1.34061,1.2518,1.6767,1.21028,1.64466,1.34077,1.28889,1.30739,0.48857,0.27598,0.570466,0.209981,0.501113,0.585998,0.332714,0.474906,2.55883,2.50834,2.71918,2.54261,2.60499,2.62212,2.55221,2.5909,1.32755,0.234875
