# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AlsingReconstruction_model
# start_datetime = 2025-04-13 00:17:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/by/tlp8gdq17q72kgysbfmtlzp40000gn/T/tmpatiag3zh/mcmhi3tp.json
# init = 2 (Default)
# random
#   seed = 78945
# output
#   file = /Users/aryannaschiebelbein/Library/CloudStorage/OneDrive-UniversityofToronto/AlsingNSMassReplication_gaps/aryanna/debug_output/AlsingReconstruction-20250412201700_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=AlsingReconstruction.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,dmmax,As.1,As.2,delta_mus.1,delta_mus.2,delta_mus.3,sigmas.1,sigmas.2,mp_gaussian_raw.1,mp_gaussian_raw.2,mp_gaussian_raw.3,mp_gaussian_raw.4,mp_gaussian_raw.5,mp_gaussian_raw.6,mp_gaussian_raw.7,mp_gaussian_raw.8,mp_gaussian_raw.9,mp_gaussian_raw.10,mp_gaussian_raw.11,mp_gaussian_raw.12,mp_gaussian_raw.13,mp_mt_raw.1,mp_mt_raw.2,mp_mt_raw.3,mp_mt_raw.4,mp_mt_raw.5,mp_mt_raw.6,mp_mt_raw.7,mp_mt_raw.8,mt_raw.1,mt_raw.2,mt_raw.3,mt_raw.4,mt_raw.5,mt_raw.6,mt_raw.7,mt_raw.8,mmax,mus.1,mus.2,log_norms.1,log_norms.2,mp_gaussian.1,mp_gaussian.2,mp_gaussian.3,mp_gaussian.4,mp_gaussian.5,mp_gaussian.6,mp_gaussian.7,mp_gaussian.8,mp_gaussian.9,mp_gaussian.10,mp_gaussian.11,mp_gaussian.12,mp_gaussian.13,mp_mt.1,mp_mt.2,mp_mt.3,mp_mt.4,mp_mt.5,mp_mt.6,mp_mt.7,mp_mt.8,mp_mt_logjac.1,mp_mt_logjac.2,mp_mt_logjac.3,mp_mt_logjac.4,mp_mt_logjac.5,mp_mt_logjac.6,mp_mt_logjac.7,mp_mt_logjac.8,mt.1,mt.2,mt.3,mt.4,mt.5,mt.6,mt.7,mt.8,mp_draw,x
# Adaptation terminated
# Step size = 0.0558911
# Diagonal elements of inverse mass matrix:
# 5.87265, 0.465882, 0.0100042, 3.51837, 0.42894, 0.851696, 0.916551, 0.49861, 1.06128, 1.00795, 1.06046, 0.880068, 0.928479, 0.539956, 0.970107, 0.900418, 1.09695, 1.13888, 0.414698, 2.31862, 5.60696, 0.876167, 6.45711, 1.3628, 1.16168, 4.78886, 2.56117, 0.96658, 1.12931, 1.11314, 1.25837, 1.34844, 1.48938, 0.244584, 1.06019
72.2474,0.928832,0.0558911,6,63,0,-57.443,0.0161976,0.574223,0.425777,0.333163,0.300677,0.366161,0.0166679,0.213944,-0.481369,1.53262,-1.23838,-0.374676,0.200962,0.346681,-2.05876,1.40126,0.0170755,-1.39478,-0.729276,0.880521,-0.170108,0.820113,0.999016,0.740601,0.907008,0.902247,0.737114,0.997335,0.997745,1.36668,1.74287,1.4728,0.662441,0.15919,0.736274,0.576053,0.183502,1.61443,1.33316,1.78418,-3.45649e-64,-1.54289,1.35319,1.53261,1.58285,1.36471,1.43984,1.56073,1.29776,1.33408,1.32219,1.33124,1.33759,1.34104,1.32639,1.34252,1.35852,1.31028,1.12923,1.47621,1.33607,1.33591,1.59823,0.492858,0.30738,0.570533,0.219136,0.492348,0.594746,0.292283,0.471155,2.56807,2.56971,2.71933,2.55987,2.58592,2.64209,2.47282,2.58284,1.32855,0.0253908
75.1304,0.461625,0.0558911,6,63,0,-56.1605,0.0213733,0.489343,0.510657,0.343372,0.395335,0.261294,0.0200975,0.397084,0.297048,0.960382,-1.68217,-0.967056,0.827928,-0.588419,-0.0369807,1.55474,1.27644,0.804534,0.975752,-1.23379,0.133707,0.834783,0.999772,0.771819,0.980223,0.86366,0.745233,0.959149,0.978708,0.871022,0.409418,1.23326,1.95362,0.23269,0.396245,0.809988,0.140989,1.59091,1.34337,1.93637,-3.67989e-35,-1.64949,1.36097,1.48683,1.56953,1.36347,1.43997,1.55606,1.30585,1.34328,1.33604,1.34663,1.33878,1.33998,1.3507,1.35963,1.32302,1.36541,1.24538,1.41787,1.34478,1.3316,1.56587,0.487795,0.280143,0.57046,0.239414,0.495735,0.590287,0.328094,0.469965,2.55716,2.51638,2.71916,2.59861,2.59327,2.63189,2.543,2.58029,1.34514,0.199407
71.5883,0.449551,0.0558911,6,63,0,-55.9388,0.0358874,0.624827,0.375173,0.32855,0.344872,0.326578,0.0152574,0.324043,0.158,1.35668,-2.09786,-0.467249,0.127397,-0.432802,0.0791161,0.989289,1.29904,0.886874,0.520685,-1.16553,-0.315615,0.806087,0.998839,0.742552,0.997736,0.776465,0.859897,0.978618,0.980919,0.782718,0.537306,1.12804,2.06771,0.232281,0.3796,0.680523,0.111096,1.60398,1.32855,1.84586,-3.77027e-73,-1.4797,1.35958,1.51853,1.55706,1.36452,1.43983,1.55684,1.30632,1.30936,1.33629,1.34721,1.33846,1.34002,1.31475,1.3117,1.32528,1.31359,1.26988,1.2747,1.55135,1.33216,1.5681,0.486891,0.282784,0.570428,0.241189,0.495716,0.590068,0.308416,0.469127,2.55522,2.52149,2.71909,2.60203,2.59323,2.63139,2.50416,2.5785,1.42727,0.0618356
65.1167,0.844952,0.0558911,6,63,0,-53.5986,0.198644,0.490164,0.509836,0.330617,0.158771,0.510612,0.0397804,0.202936,-0.789779,1.74328,-2.64757,0.221236,0.0437932,-0.308757,-0.0329618,0.868761,0.456024,-0.3054,0.637333,-0.314979,-0.0505048,0.799902,0.999336,0.750458,0.999839,0.953112,0.835492,0.987683,0.937666,0.533333,0.239712,0.594064,1.48485,0.491331,2.47016,0.540621,0.135666,1.782,1.33062,1.56877,-3.84015e-30,-0.158637,1.3501,1.54946,1.54057,1.36596,1.43981,1.55746,1.30587,1.30213,1.32702,1.33886,1.33855,1.34044,1.33596,1.29831,1.3178,1.32736,1.26103,1.58336,1.54878,1.3157,1.49998,0.484333,0.276629,0.570266,0.232093,0.507571,0.617202,0.286759,0.469816,2.54973,2.50959,2.71872,2.58455,2.61913,2.6941,2.46219,2.57997,1.69832,0.241188
68.4186,0.92339,0.0558911,6,63,0,-48.0097,0.00515318,0.758368,0.241632,0.308615,0.307276,0.384109,0.0335615,0.215332,0.202766,0.910709,-0.717475,-0.655141,-0.0728008,0.0105983,0.686796,1.11323,-1.42303,0.811253,0.48409,-0.419696,0.0256638,0.812971,0.919573,0.719963,0.999738,0.890477,0.846441,0.930599,0.929166,1.77447,0.432137,0.657303,1.26749,0.184444,0.399887,0.752812,1.32445,1.60363,1.30861,1.76953,-7.46089e-19,-1.51176,1.36003,1.48286,1.59848,1.36412,1.43979,1.55905,1.30875,1.31679,1.30635,1.34668,1.33844,1.34039,1.34205,1.33636,1.21746,1.27345,1.25661,1.45866,1.52748,1.28084,1.53595,0.497006,0.280613,0.570285,0.228683,0.493513,0.590334,0.319446,0.502617,2.57704,2.51729,2.71876,2.57802,2.58844,2.632,2.52584,2.6513,1.31869,0.466473
60.7958,0.767889,0.0558911,6,63,0,-52.6685,0.0097068,0.387458,0.612542,0.329945,0.577251,0.0928043,0.0463232,0.705098,-0.584563,0.531155,-0.574366,-0.18317,0.0624853,-1.44506,1.06245,-0.495604,-0.685513,0.727762,0.619463,2.24371,-0.995747,0.801847,0.9999,0.728708,0.99863,0.965037,0.806241,0.962185,0.956421,0.498976,1.01297,0.462892,1.22509,0.789577,1.61543,1.11224,0.569656,1.63465,1.32994,2.19582,-2.38554e-11,-1.55055,1.35215,1.45249,1.60277,1.36512,1.43981,1.55177,1.31025,1.22026,1.31446,1.34609,1.33853,1.34172,1.26034,1.30101,1.33971,1.28884,1.25439,1.62495,1.47819,1.39681,1.54859,0.48398,0.292552,0.570226,0.228017,0.521064,0.60619,0.372741,0.481904,2.54898,2.54052,2.71862,2.57675,2.64896,2.66846,2.63367,2.60601,1.34627,0.274777
