# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AlsingReconstruction_model
# start_datetime = 2025-04-13 00:19:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/by/tlp8gdq17q72kgysbfmtlzp40000gn/T/tmpatiag3zh/q0k6hesl.json
# init = 2 (Default)
# random
#   seed = 22956
# output
#   file = /Users/aryannaschiebelbein/Library/CloudStorage/OneDrive-UniversityofToronto/AlsingNSMassReplication_gaps/aryanna/debug_output/AlsingReconstruction-20250412201924_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=AlsingReconstruction.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,dmmax,As.1,As.2,delta_mus.1,delta_mus.2,delta_mus.3,sigmas.1,sigmas.2,mp_gaussian_raw.1,mp_gaussian_raw.2,mp_gaussian_raw.3,mp_gaussian_raw.4,mp_gaussian_raw.5,mp_gaussian_raw.6,mp_gaussian_raw.7,mp_gaussian_raw.8,mp_gaussian_raw.9,mp_gaussian_raw.10,mp_gaussian_raw.11,mp_gaussian_raw.12,mp_gaussian_raw.13,mp_mt_raw.1,mp_mt_raw.2,mp_mt_raw.3,mp_mt_raw.4,mp_mt_raw.5,mp_mt_raw.6,mp_mt_raw.7,mp_mt_raw.8,mt_raw.1,mt_raw.2,mt_raw.3,mt_raw.4,mt_raw.5,mt_raw.6,mt_raw.7,mt_raw.8,mmax,mus.1,mus.2,log_norms.1,log_norms.2,mp_gaussian.1,mp_gaussian.2,mp_gaussian.3,mp_gaussian.4,mp_gaussian.5,mp_gaussian.6,mp_gaussian.7,mp_gaussian.8,mp_gaussian.9,mp_gaussian.10,mp_gaussian.11,mp_gaussian.12,mp_gaussian.13,mp_mt.1,mp_mt.2,mp_mt.3,mp_mt.4,mp_mt.5,mp_mt.6,mp_mt.7,mp_mt.8,mp_mt_logjac.1,mp_mt_logjac.2,mp_mt_logjac.3,mp_mt_logjac.4,mp_mt_logjac.5,mp_mt_logjac.6,mp_mt_logjac.7,mp_mt_logjac.8,mt.1,mt.2,mt.3,mt.4,mt.5,mt.6,mt.7,mt.8,mp_draw,x
# Adaptation terminated
# Step size = 0.0471134
# Diagonal elements of inverse mass matrix:
# 4.50201, 0.507714, 0.0337971, 3.41466, 0.822209, 1.09851, 0.937789, 0.614463, 0.866798, 1.06896, 0.935367, 1.26136, 1.06331, 0.688286, 0.959449, 0.898353, 1.03782, 0.834512, 0.382743, 4.95551, 3.83861, 0.669942, 6.08686, 2.06364, 0.501138, 4.21326, 2.65711, 1.21726, 0.615529, 1.22297, 1.00155, 1.24296, 1.1486, 0.658119, 1.081
61.6177,0.983522,0.0471134,6,63,0,-51.1696,0.00377371,0.758941,0.241059,0.318127,0.430446,0.251427,0.0776905,0.21152,-1.78938,-0.962344,1.7932,0.0238502,-0.710522,0.382619,0.914112,1.93514,-1.05563,-0.339877,-0.61074,0.78015,-0.484209,0.976734,0.988832,0.760646,0.999944,0.716983,0.90028,0.99469,0.75777,1.32351,0.204866,1.08787,0.519784,1.62365,2.26476,0.389641,1.4777,1.67757,1.31813,1.9638,-1.85861e-06,-2.43045,1.34011,1.33301,1.6738,1.36555,1.43966,1.56091,1.30966,1.36611,1.31039,1.33862,1.33767,1.34099,1.30126,1.5982,1.30301,1.34558,1.24212,1.25262,1.66449,1.2938,1.25785,0.492418,0.275907,0.570416,0.216873,0.557941,0.614566,0.262911,0.506775,2.56712,2.50819,2.71906,2.55559,2.73237,2.68794,2.41689,2.66049,1.4074,0.5386
62.0136,0.970276,0.0471134,6,63,0,-53.3572,0.00364725,0.760425,0.239575,0.319795,0.422111,0.258093,0.0762539,0.204257,-1.77471,-0.979442,1.76279,0.0792086,-0.717335,0.374431,0.880222,1.93439,-1.01596,-0.320087,-0.580811,0.743083,-0.490541,0.972935,0.987982,0.75206,0.999942,0.708333,0.898059,0.995145,0.760312,1.21712,0.210492,1.11234,0.521936,1.62185,2.20302,0.393227,1.52196,1.67653,1.3198,1.95296,-1.44659e-06,-2.43075,1.34025,1.33164,1.67288,1.36567,1.43966,1.56087,1.30952,1.36606,1.31082,1.33876,1.33769,1.34097,1.30076,1.59026,1.30204,1.33041,1.24216,1.23741,1.65906,1.29514,1.26358,0.491333,0.276023,0.570424,0.216907,0.557862,0.613773,0.263483,0.507973,2.56478,2.50842,2.71908,2.55566,2.73218,2.68609,2.41797,2.66315,1.35876,0.331451
55.0059,0.876859,0.0471134,7,127,0,-36.5052,0.0156187,0.79286,0.20714,0.414406,0.175367,0.410228,0.114177,0.691819,0.201381,-1.00655,-1.60903,-0.198745,-1.6905,-0.228983,1.68061,-0.951154,1.6031,-0.378753,-1.55152,-1.06315,0.737529,0.964609,0.798021,0.830179,0.839665,0.916552,0.639901,0.972201,0.973512,1.05401,1.36764,1.18196,0.107009,0.4759,0.215249,1.05221,0.103882,1.58964,1.41441,1.67746,-0.064453,-0.816815,1.36001,1.32948,1.57173,1.36508,1.43946,1.55786,1.31272,1.19293,1.33963,1.33835,1.33701,1.34007,1.399,1.57402,1.07698,1.46863,1.03619,1.52155,1.15196,1.39909,1.55594,0.489667,0.299781,0.570445,0.210301,0.506869,0.587906,0.364013,0.468925,2.56119,2.55471,2.71913,2.54321,2.61759,2.62646,2.61566,2.57806,1.39851,0.413004
59.7843,0.906455,0.0471134,7,127,0,-39.6749,0.722451,0.485071,0.514929,0.344673,0.558999,0.0963278,0.0440176,0.925182,-0.269548,-0.067836,1.38081,0.350639,1.56661,-0.129705,-1.64704,1.45765,-1.46186,0.469975,1.55829,1.38219,-0.440132,0.950368,0.994342,0.774257,0.998348,0.829469,0.541852,0.994519,0.769691,1.37261,0.581378,1.24041,0.815386,0.98217,2.0205,0.532439,1.29053,2.38388,1.34467,2.18317,-1.56651e-123,-0.550388,1.3553,1.40457,1.66142,1.36624,1.44011,1.55835,1.29941,1.33746,1.30592,1.34429,1.33919,1.34129,1.30479,1.55584,1.32051,1.36973,1.24596,1.40877,0.998662,1.32311,1.27116,0.492919,0.283692,0.570462,0.221557,0.52969,0.611423,0.285479,0.501694,2.5682,2.52326,2.71917,2.56446,2.66822,2.68061,2.45973,2.64926,1.3115,0.438604
62.21,0.99652,0.0471134,6,63,0,-44.9544,0.756406,0.711063,0.288937,0.326175,0.560908,0.112917,0.0656005,1.2967,-0.058889,0.954456,0.403446,1.27265,0.82957,-0.541457,0.0107084,1.47506,-1.0527,1.07111,1.38405,1.23521,-0.793927,0.701446,0.995429,0.735713,0.998537,0.84639,0.461051,0.970753,0.810771,0.739147,0.711837,0.544331,0.436016,0.500607,1.34598,0.699949,1.16038,2.38851,1.32618,2.16754,-2.7792e-59,-0.653246,1.35741,1.48636,1.6321,1.36817,1.43997,1.55629,1.30604,1.3385,1.31042,1.3485,1.33907,1.34122,1.27649,1.14092,1.32551,1.30126,1.23872,1.40666,0.842357,1.32539,1.33426,0.486445,0.286378,0.570251,0.215543,0.507993,0.602696,0.311391,0.498147,2.55426,2.52847,2.71868,2.55308,2.62006,2.66038,2.50998,2.64145,2.05604,0.0595164
66.5086,0.998156,0.0471134,6,63,0,-45.4267,0.105816,0.80948,0.19052,0.359779,0.289643,0.350578,0.0739644,0.616245,-0.764354,-0.812497,-0.986541,1.43979,0.34856,-0.690971,1.19141,1.51449,-0.986798,-0.194905,-0.086236,-0.816596,0.93837,0.984148,0.981847,0.762774,0.997816,0.899513,0.708798,0.853134,0.832982,1.23429,0.192801,1.835,0.680752,0.0486371,0.928206,1.25044,0.525149,1.71468,1.35978,1.79424,-8.00093e-07,-0.805558,1.35036,1.345,1.5904,1.36852,1.43987,1.55555,1.31077,1.34087,1.31115,1.33964,1.33804,1.34019,1.41507,1.60887,1.29348,1.34966,1.24264,1.46423,1.28797,1.26332,1.34706,0.491508,0.275656,0.570643,0.219426,0.487233,0.597255,0.39258,0.48067,2.56515,2.50771,2.71958,2.56042,2.57486,2.64785,2.67513,2.60334,1.23525,0.412934
