# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AlsingReconstruction_model
# start_datetime = 2025-04-13 00:23:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/by/tlp8gdq17q72kgysbfmtlzp40000gn/T/tmpatiag3zh/8mfxxl3c.json
# init = 2 (Default)
# random
#   seed = 7432
# output
#   file = /Users/aryannaschiebelbein/Library/CloudStorage/OneDrive-UniversityofToronto/AlsingNSMassReplication_gaps/aryanna/debug_output/AlsingReconstruction-20250412202348_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=AlsingReconstruction.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,dmmax,As.1,As.2,delta_mus.1,delta_mus.2,delta_mus.3,sigmas.1,sigmas.2,mp_gaussian_raw.1,mp_gaussian_raw.2,mp_gaussian_raw.3,mp_gaussian_raw.4,mp_gaussian_raw.5,mp_gaussian_raw.6,mp_gaussian_raw.7,mp_gaussian_raw.8,mp_gaussian_raw.9,mp_gaussian_raw.10,mp_gaussian_raw.11,mp_gaussian_raw.12,mp_gaussian_raw.13,mp_mt_raw.1,mp_mt_raw.2,mp_mt_raw.3,mp_mt_raw.4,mp_mt_raw.5,mp_mt_raw.6,mp_mt_raw.7,mp_mt_raw.8,mt_raw.1,mt_raw.2,mt_raw.3,mt_raw.4,mt_raw.5,mt_raw.6,mt_raw.7,mt_raw.8,mmax,mus.1,mus.2,log_norms.1,log_norms.2,mp_gaussian.1,mp_gaussian.2,mp_gaussian.3,mp_gaussian.4,mp_gaussian.5,mp_gaussian.6,mp_gaussian.7,mp_gaussian.8,mp_gaussian.9,mp_gaussian.10,mp_gaussian.11,mp_gaussian.12,mp_gaussian.13,mp_mt.1,mp_mt.2,mp_mt.3,mp_mt.4,mp_mt.5,mp_mt.6,mp_mt.7,mp_mt.8,mp_mt_logjac.1,mp_mt_logjac.2,mp_mt_logjac.3,mp_mt_logjac.4,mp_mt_logjac.5,mp_mt_logjac.6,mp_mt_logjac.7,mp_mt_logjac.8,mt.1,mt.2,mt.3,mt.4,mt.5,mt.6,mt.7,mt.8,mp_draw,x
# Adaptation terminated
# Step size = 0.03161
# Diagonal elements of inverse mass matrix:
# 5.88264, 0.840739, 0.369038, 3.01404, 2.2887, 0.967218, 0.989428, 0.596149, 0.885752, 1.05043, 1.00807, 1.12825, 0.896594, 0.727785, 1.02855, 1.15468, 0.919258, 1.05223, 0.462709, 3.78324, 6.26206, 0.713259, 6.15609, 1.11478, 0.830173, 3.90295, 2.78233, 1.55197, 1.27615, 0.977205, 1.31058, 1.20819, 1.09027, 0.36391, 0.905231
75.7965,0.982318,0.03161,7,127,0,-60.0822,0.0609587,0.528881,0.471119,0.310483,0.133041,0.556476,0.0315519,0.242284,-0.617003,-0.92443,-1.49292,-0.890532,0.894214,1.57517,-0.249815,0.966471,0.11738,-0.181226,0.237881,-0.871187,-0.404337,0.798016,0.986793,0.897768,0.999764,0.82725,0.717497,0.993099,0.822874,0.514355,0.895133,1.68013,1.32515,0.338538,1.95391,0.508306,0.433031,1.6494,1.31048,1.51004,-3.24812e-27,-0.332107,1.35183,1.33605,1.57521,1.36363,1.43998,1.56688,1.305,1.30799,1.32329,1.33973,1.33827,1.34016,1.30765,1.295,1.31896,1.58844,1.25779,1.36472,1.32125,1.31623,1.32732,0.484138,0.29014,0.570596,0.229589,0.500594,0.610565,0.281696,0.478113,2.54932,2.53581,2.71948,2.57975,2.60385,2.67862,2.45249,2.59781,1.24253,0.510269
79.7395,0.993947,0.03161,6,63,0,-62.6962,0.0345544,0.664465,0.335535,0.339797,0.323269,0.336934,0.029651,0.266657,-0.147962,-0.817525,-0.836764,-0.00973281,-0.210508,0.985768,-0.987445,1.57408,0.0612599,-1.11747,1.06606,-0.886302,0.0253638,0.842221,0.99986,0.831539,0.974755,0.78164,0.726109,0.982861,0.784005,1.04183,0.623564,0.856564,1.49437,0.580375,0.454602,0.759276,1.85974,1.62945,1.3398,1.8247,-7.66416e-23,-1.46093,1.35652,1.3446,1.5949,1.36548,1.43976,1.56393,1.30205,1.34444,1.32267,1.33318,1.33885,1.34016,1.34203,1.37414,1.32899,1.47089,1.22958,1.30376,1.31127,1.3541,1.31487,0.489543,0.284562,0.570346,0.232243,0.511617,0.591053,0.320427,0.517074,2.56092,2.52494,2.7189,2.58483,2.62804,2.63364,2.52778,2.68341,1.39919,0.0985407
75.1239,0.962349,0.03161,7,127,0,-59.9889,0.18223,0.614061,0.385939,0.346801,0.322467,0.330732,0.0148932,0.4715,-0.317551,-0.502073,-0.509006,0.609141,1.85718,-0.337089,1.05695,1.55586,1.08925,1.34503,-0.869204,2.16315,0.156812,0.96672,0.970352,0.805168,0.942195,0.798768,0.738166,0.961977,0.843875,0.790075,0.494917,0.226849,0.364295,0.623031,0.696631,0.744152,0.283731,1.78696,1.3468,1.8305,-2.89683e-192,-0.769686,1.35482,1.36983,1.60473,1.36678,1.44017,1.55731,1.31023,1.34335,1.33398,1.35042,1.33749,1.34168,1.35254,1.57321,1.28636,1.42397,1.16749,1.33491,1.33728,1.32229,1.35555,0.486966,0.281909,0.570155,0.214402,0.51355,0.594227,0.31813,0.473955,2.55538,2.5198,2.71846,2.55093,2.6323,2.6409,2.52325,2.58885,1.70481,0.344346
69.9896,0.990889,0.03161,7,127,0,-55.2186,0.0176376,0.652637,0.347363,0.333109,0.618948,0.0479435,0.0275015,0.465409,-0.27618,-0.737651,0.355661,0.432546,-0.388244,-0.123351,1.39019,0.784135,-1.21132,-0.144037,-1.27897,0.0831988,-0.235227,0.998672,0.998762,0.972135,0.91511,0.804408,0.727033,0.976517,0.766838,0.0122496,1.51699,0.28316,0.776719,0.553283,1.16645,0.685504,2.45308,1.73693,1.33311,2.26153,-4.11198e-49,-2.04152,1.35524,1.35099,1.63067,1.36641,1.43972,1.55838,1.31156,1.29705,1.30868,1.33999,1.3372,1.34064,1.32118,1.61226,1.35198,1.71929,1.14138,1.34009,1.32522,1.33032,1.30656,0.478968,0.302812,0.570172,0.220945,0.510388,0.600361,0.309179,0.53288,2.53827,2.56068,2.7185,2.5633,2.62533,2.65499,2.50565,2.71901,1.34321,0.149559
66.5795,0.918375,0.03161,7,127,0,-49.1685,0.434553,0.520099,0.479901,0.331885,0.0719538,0.596161,0.022928,0.13105,-1.04492,-0.259658,0.523783,-0.472458,0.247009,-0.0955903,0.317628,1.00037,0.991204,-1.0751,0.265505,-1.51749,-0.283315,0.999998,0.977855,0.984807,0.97423,0.751863,0.710702,0.99852,0.838665,0.64799,0.672555,0.411653,0.820051,1.35131,0.405296,0.653211,0.127294,2.17632,1.33188,1.43982,-3.06621e-297,-9.5457e-09,1.34755,1.38923,1.63571,1.36451,1.43985,1.55852,1.30727,1.31002,1.3329,1.33347,1.33829,1.33984,1.31733,1.625,1.30106,1.74177,1.21595,1.29801,1.28262,1.35356,1.3413,0.48551,0.28557,0.570211,0.22163,0.546035,0.590406,0.30422,0.469581,2.55226,2.5269,2.71859,2.5646,2.70513,2.63216,2.49596,2.57947,1.35146,0.394132
65.3903,0.911596,0.03161,7,127,0,-53.154,0.647865,0.439113,0.560887,0.345527,0.138155,0.516318,0.0127605,0.222967,-0.713839,0.481534,-0.132918,0.304653,0.395995,0.856402,0.80924,1.34443,0.463714,-0.0375161,1.02526,-1.21077,0.106317,0.999999,0.966343,0.963042,0.997572,0.804075,0.856737,0.994805,0.864256,1.61471,2.77116,0.347568,1.00651,0.823193,0.237515,0.613366,0.0683816,2.35111,1.34553,1.55276,0,-0.000171447,1.35086,1.44852,1.61601,1.36614,1.43988,1.56328,1.30924,1.33067,1.3271,1.34074,1.33882,1.33999,1.34851,1.64112,1.34139,1.70324,1.24875,1.35596,1.54276,1.34026,1.37994,0.495383,0.327945,0.570191,0.224575,0.522574,0.588199,0.298072,0.46793,2.57352,2.61085,2.71854,2.5702,2.65232,2.62713,2.48401,2.57593,1.34003,0.17274
