# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AlsingReconstruction_model
# start_datetime = 2025-04-13 00:23:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/by/tlp8gdq17q72kgysbfmtlzp40000gn/T/tmpatiag3zh/8mfxxl3c.json
# init = 2 (Default)
# random
#   seed = 7432
# output
#   file = /Users/aryannaschiebelbein/Library/CloudStorage/OneDrive-UniversityofToronto/AlsingNSMassReplication_gaps/aryanna/debug_output/AlsingReconstruction-20250412202348_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=AlsingReconstruction.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,dmmax,As.1,As.2,delta_mus.1,delta_mus.2,delta_mus.3,sigmas.1,sigmas.2,mp_gaussian_raw.1,mp_gaussian_raw.2,mp_gaussian_raw.3,mp_gaussian_raw.4,mp_gaussian_raw.5,mp_gaussian_raw.6,mp_gaussian_raw.7,mp_gaussian_raw.8,mp_gaussian_raw.9,mp_gaussian_raw.10,mp_gaussian_raw.11,mp_gaussian_raw.12,mp_gaussian_raw.13,mp_mt_raw.1,mp_mt_raw.2,mp_mt_raw.3,mp_mt_raw.4,mp_mt_raw.5,mp_mt_raw.6,mp_mt_raw.7,mp_mt_raw.8,mt_raw.1,mt_raw.2,mt_raw.3,mt_raw.4,mt_raw.5,mt_raw.6,mt_raw.7,mt_raw.8,mmax,mus.1,mus.2,log_norms.1,log_norms.2,mp_gaussian.1,mp_gaussian.2,mp_gaussian.3,mp_gaussian.4,mp_gaussian.5,mp_gaussian.6,mp_gaussian.7,mp_gaussian.8,mp_gaussian.9,mp_gaussian.10,mp_gaussian.11,mp_gaussian.12,mp_gaussian.13,mp_mt.1,mp_mt.2,mp_mt.3,mp_mt.4,mp_mt.5,mp_mt.6,mp_mt.7,mp_mt.8,mp_mt_logjac.1,mp_mt_logjac.2,mp_mt_logjac.3,mp_mt_logjac.4,mp_mt_logjac.5,mp_mt_logjac.6,mp_mt_logjac.7,mp_mt_logjac.8,mt.1,mt.2,mt.3,mt.4,mt.5,mt.6,mt.7,mt.8,mp_draw,x
# Adaptation terminated
# Step size = 0.0399619
# Diagonal elements of inverse mass matrix:
# 4.60792, 0.447937, 0.00684205, 3.28579, 0.358318, 0.578016, 0.871391, 0.492466, 1.05784, 0.981897, 1.0013, 0.887806, 1.01563, 0.524285, 0.967779, 1.03869, 0.890769, 0.890099, 0.310997, 2.84006, 5.51382, 1.23236, 5.64828, 3.24486, 0.514392, 3.52159, 1.59651, 1.05967, 0.988544, 1.39036, 1.01987, 0.824212, 1.02365, 0.362692, 1.36132
70.4767,0.99736,0.0399619,6,63,0,-56.2342,0.0670377,0.662947,0.337053,0.346052,0.573417,0.0805315,0.017386,0.779416,-2.24134,-0.781595,0.0890302,-0.486548,1.61728,-0.179861,-0.898039,1.52255,0.436186,0.578212,1.04655,0.361766,0.0122826,0.819672,0.999388,0.92783,0.995674,0.970969,0.74643,0.990558,0.811972,0.571889,1.26765,0.0897787,0.0245047,1.27216,0.411927,0.499102,0.949431,1.73748,1.34605,2.20618,-1.5058e-112,-1.30385,1.33559,1.34747,1.62267,1.36448,1.44012,1.5581,1.30241,1.34135,1.3268,1.34505,1.33883,1.34078,1.34098,1.33093,1.346,1.64084,1.22709,1.67045,1.34721,1.31097,1.32855,0.484729,0.297748,0.570113,0.208983,0.542551,0.590493,0.280251,0.492374,2.55058,2.55071,2.71836,2.54074,2.69722,2.63236,2.44973,2.6288,1.34158,0.0538717
69.4693,0.636212,0.0399619,6,63,0,-50.0916,0.203744,0.677067,0.322933,0.336151,0.442963,0.220886,0.0233403,0.366986,-1.18519,-0.945378,-0.269077,-0.120348,1.35379,1.08918,0.6814,1.5972,0.55103,0.549574,1.00433,0.418343,-0.0514266,0.813968,0.997844,0.972428,0.973613,0.955588,0.757089,0.983658,0.772781,1.24639,1.50044,0.156121,0.00874319,1.8355,0.241798,0.727441,3.02995,1.92348,1.33615,2.0006,-4.97804e-140,-0.875178,1.34615,1.33437,1.61193,1.36525,1.44007,1.56445,1.30873,1.34583,1.32806,1.34485,1.3388,1.34081,1.33589,1.33082,1.35029,1.71974,1.1996,1.68486,1.3634,1.34866,1.33679,0.491632,0.302476,0.570133,0.208731,0.567113,0.588255,0.315587,0.548034,2.56542,2.56002,2.71841,2.54026,2.75355,2.62725,2.51823,2.75363,1.62357,0.0916605
66.767,0.912375,0.0399619,6,127,0,-47.1829,0.00118959,0.431266,0.568734,0.338703,0.261645,0.399652,0.0205781,0.250828,-0.902823,-0.588541,-0.417419,-0.261978,0.373658,1.19858,0.425288,0.0664502,-0.293435,-1.11247,-1.73092,0.305609,-0.321901,0.827921,0.993613,0.867729,0.998481,0.901379,0.744748,0.993459,0.841485,0.24835,0.787056,0.339096,0.0108206,0.608972,1.08663,0.969499,0.0563177,1.60867,1.3387,1.73117,-1.28216e-39,-1.16272,1.34897,1.36292,1.60748,1.36495,1.43987,1.56499,1.3077,1.25399,1.31877,1.33321,1.33689,1.34075,1.31425,1.33986,1.32514,1.53467,1.23028,1.50544,1.3561,1.41243,1.34313,0.481402,0.287923,0.570189,0.208764,0.512913,0.599321,0.351876,0.467591,2.54346,2.53148,2.71854,2.54032,2.6309,2.6526,2.59085,2.57521,1.36947,0.198199
59.7257,0.622183,0.0399619,6,63,0,-45.6157,0.301984,0.497723,0.502277,0.330993,0.453822,0.215186,0.0225477,0.564166,-0.172422,-0.102509,-0.367576,1.33749,2.49011,-0.203528,1.9904,1.70519,0.30946,0.0307305,-0.908799,-1.02036,0.0890491,0.876604,0.999629,0.782077,0.989829,0.885622,0.745944,0.983159,0.833674,0.107758,1.2254,1.53296,0.0368386,1.98737,0.588383,0.379979,0.156748,1.91096,1.33099,2.01173,-3.34861e-146,-0.846441,1.35628,1.4018,1.60897,1.36831,1.4403,1.55798,1.31396,1.35231,1.3254,1.34122,1.33746,1.34009,1.34712,1.41659,1.34517,1.38368,1.22013,1.57173,1.34946,1.27683,1.33442,0.479953,0.296888,0.570551,0.20918,0.573641,0.592809,0.261367,0.470406,2.54037,2.54902,2.71937,2.54111,2.76874,2.63765,2.41399,2.58123,1.31598,0.379591
64.8855,0.838365,0.0399619,6,127,0,-48.2996,0.0741989,0.560433,0.439567,0.33632,0.401155,0.262525,0.0229693,0.429759,-0.181995,-0.454957,-0.545929,1.31385,2.55132,-0.267313,1.9364,1.95213,0.610319,0.0584333,-0.517655,-1.27855,-0.287681,0.930531,0.997614,0.783971,0.99307,0.885127,0.737598,0.992453,0.859106,0.0605783,1.03163,0.989388,0.0609099,1.97134,0.413788,0.40615,0.280534,1.67782,1.33632,1.93805,-2.66996e-50,-1.30044,1.35618,1.3736,1.60362,1.36826,1.44031,1.55766,1.31375,1.36713,1.32871,1.34141,1.33774,1.33996,1.31699,1.50301,1.33716,1.3868,1.2246,1.56977,1.33131,1.2943,1.37989,0.479467,0.292934,0.570386,0.209565,0.572954,0.590517,0.265543,0.473866,2.53933,2.54127,2.71899,2.54183,2.76713,2.63241,2.42184,2.58866,1.62733,0.381102
69.261,0.988644,0.0399619,6,63,0,-49.772,0.0139812,0.529464,0.470536,0.351421,0.60183,0.0467486,0.025657,0.399234,-0.87762,-0.966648,-0.849323,0.669094,1.62001,0.479113,-0.325785,1.13644,0.0237789,-0.107189,-0.836905,-1.1123,0.949429,0.988886,0.962463,0.911921,0.998501,0.811318,0.889066,0.984172,0.856396,0.303689,1.86438,1.06971,0.166046,0.913303,1.07526,1.03192,0.572385,1.63262,1.35142,2.25417,-2.97161e-28,-2.81751,1.34922,1.33267,1.59452,1.36691,1.44012,1.5614,1.3047,1.31819,1.32226,1.34025,1.33751,1.34004,1.41595,1.60127,1.31202,1.61318,1.23336,1.37371,1.61864,1.41212,1.38674,0.481972,0.30983,0.570411,0.211243,0.526613,0.599173,0.361047,0.481979,2.54468,2.57458,2.71905,2.54498,2.66133,2.65226,2.60958,2.60617,1.42845,0.121404
