# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AlsingReconstruction_model
# start_datetime = 2025-04-13 00:26:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/by/tlp8gdq17q72kgysbfmtlzp40000gn/T/tmpatiag3zh/2ba1nxf6.json
# init = 2 (Default)
# random
#   seed = 25289
# output
#   file = /Users/aryannaschiebelbein/Library/CloudStorage/OneDrive-UniversityofToronto/AlsingNSMassReplication_gaps/aryanna/debug_output/AlsingReconstruction-20250412202606_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=AlsingReconstruction.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,dmmax,As.1,As.2,delta_mus.1,delta_mus.2,delta_mus.3,sigmas.1,sigmas.2,mp_gaussian_raw.1,mp_gaussian_raw.2,mp_gaussian_raw.3,mp_gaussian_raw.4,mp_gaussian_raw.5,mp_gaussian_raw.6,mp_gaussian_raw.7,mp_gaussian_raw.8,mp_gaussian_raw.9,mp_gaussian_raw.10,mp_gaussian_raw.11,mp_gaussian_raw.12,mp_gaussian_raw.13,mp_mt_raw.1,mp_mt_raw.2,mp_mt_raw.3,mp_mt_raw.4,mp_mt_raw.5,mp_mt_raw.6,mp_mt_raw.7,mp_mt_raw.8,mt_raw.1,mt_raw.2,mt_raw.3,mt_raw.4,mt_raw.5,mt_raw.6,mt_raw.7,mt_raw.8,mmax,mus.1,mus.2,log_norms.1,log_norms.2,mp_gaussian.1,mp_gaussian.2,mp_gaussian.3,mp_gaussian.4,mp_gaussian.5,mp_gaussian.6,mp_gaussian.7,mp_gaussian.8,mp_gaussian.9,mp_gaussian.10,mp_gaussian.11,mp_gaussian.12,mp_gaussian.13,mp_mt.1,mp_mt.2,mp_mt.3,mp_mt.4,mp_mt.5,mp_mt.6,mp_mt.7,mp_mt.8,mp_mt_logjac.1,mp_mt_logjac.2,mp_mt_logjac.3,mp_mt_logjac.4,mp_mt_logjac.5,mp_mt_logjac.6,mp_mt_logjac.7,mp_mt_logjac.8,mt.1,mt.2,mt.3,mt.4,mt.5,mt.6,mt.7,mt.8,mp_draw,x
# Adaptation terminated
# Step size = 0.050284
# Diagonal elements of inverse mass matrix:
# 5.52098, 0.438149, 0.00829536, 3.15008, 0.40172, 0.604113, 0.917374, 0.499953, 1.11488, 1.07112, 1.04021, 0.880775, 0.865396, 0.503605, 0.970285, 1.06738, 0.819752, 0.992247, 0.443685, 2.53342, 4.977, 1.03965, 5.60261, 2.00013, 0.5536, 5.23491, 2.01643, 1.49745, 0.735195, 1.07447, 1.19884, 1.44245, 0.9404, 0.277272, 1.86146
58.8836,0.9926,0.050284,6,63,0,-40.2127,0.303359,0.520056,0.479944,0.330139,0.346112,0.323749,0.0250519,0.43895,-2.13967,-1.24409,0.367854,-1.41332,0.00303966,0.382677,1.09586,1.12014,-0.692404,-0.126289,0.285926,-2.70059,-1.82598,0.990547,0.991337,0.804654,0.892399,0.996245,0.726591,0.983477,0.85448,0.41709,0.285545,0.935032,0.691723,0.51458,1.39684,0.476596,0.0196739,1.96012,1.33014,1.84931,-7.58905e-140,-0.511417,1.3366,1.31047,1.63104,1.36253,1.4398,1.56091,1.31038,1.31721,1.31438,1.34012,1.3383,1.33925,1.19392,1.60583,1.3085,1.42337,1.11155,1.65677,1.32839,1.29699,1.36247,0.483138,0.277579,0.57037,0.2196,0.508629,0.603356,0.276707,0.466562,2.54718,2.51142,2.71895,2.56075,2.62146,2.66191,2.44298,2.57301,1.28922,0.40667
66.1607,0.9934,0.050284,6,127,0,-43.6991,0.0120599,0.5011,0.4989,0.341956,0.362204,0.29584,0.0237283,0.331587,1.30772,-0.747467,-1.16075,0.457404,-0.483861,0.20134,-0.499208,2.09431,1.21028,0.52478,1.41631,3.09253,2.43271,0.984089,0.990616,0.907181,0.991612,0.691425,0.746005,0.905719,0.800854,1.1929,1.03278,0.986187,0.626969,1.07617,0.584379,1.0532,1.00113,1.62015,1.34196,1.88526,-4.79415e-32,-1.5512,1.37108,1.3502,1.58518,1.36646,1.4397,1.56001,1.304,1.37566,1.33531,1.34467,1.33909,1.34215,1.53462,1.60809,1.32781,1.60476,1.23386,1.17925,1.3495,1.3036,1.31221,0.491086,0.292957,0.570385,0.218574,0.533875,0.592756,0.364157,0.493792,2.56424,2.54131,2.71899,2.55881,2.67762,2.63753,2.61596,2.6319,1.33867,0.38309
69.9381,0.80585,0.050284,6,63,0,-48.4306,0.030271,0.610044,0.389956,0.328739,0.2623,0.408961,0.0186627,0.267621,-2.61195,-0.868129,-0.418788,-0.485595,-0.494813,-0.0308334,0.469693,-0.609857,-0.160017,-0.42067,-1.66208,-1.72929,0.186814,0.841327,0.996686,0.871905,0.836355,0.842381,0.742534,0.991632,0.825866,0.347834,0.81808,0.767222,0.913759,0.10942,0.0750315,0.570067,0.0591106,1.63771,1.32874,1.72219,-7.32056e-62,-0.977838,1.33188,1.34055,1.60744,1.36448,1.4397,1.55885,1.30788,1.21341,1.32024,1.33806,1.33694,1.33974,1.35495,1.36295,1.33008,1.54225,1.04541,1.3751,1.33425,1.32704,1.31831,0.482426,0.28856,0.570319,0.223111,0.490048,0.586057,0.291352,0.46767,2.54565,2.53272,2.71884,2.56741,2.58094,2.62225,2.47102,2.57538,1.55342,0.103903
64.484,0.444469,0.050284,6,127,0,-49.5608,0.051507,0.558823,0.441177,0.357446,0.540064,0.10249,0.0591281,0.767482,-1.69764,-0.792526,-1.57165,1.82835,-0.904166,-0.803156,0.0466528,0.356214,-0.749802,1.50341,-1.70744,-0.180361,0.305729,0.804131,0.985222,0.882284,0.962311,0.86998,0.754942,0.937107,0.878186,0.154436,0.792603,0.620899,1.68459,0.108496,0.184423,0.827273,0.144038,1.62436,1.35745,2.16754,-3.17904e-06,-1.43893,1.34102,1.3466,1.57285,1.36934,1.43962,1.55498,1.30619,1.27137,1.31375,1.35152,1.3369,1.34051,1.36446,1.3001,1.3141,1.56054,1.2175,1.42009,1.35851,1.30439,1.40516,0.480434,0.288037,0.570274,0.235219,0.490005,0.5875,0.330695,0.47005,2.5414,2.5317,2.71873,2.59054,2.58085,2.62553,2.54818,2.58047,1.31699,0.216235
69.804,0.808162,0.050284,6,63,0,-47.6998,0.00484971,0.848816,0.151184,0.301625,0.650032,0.048343,0.0278183,0.225633,-2.524,-0.66509,-1.7737,0.167974,-0.0849422,0.141424,-1.52668,0.811373,1.33168,0.143473,-1.65417,0.708511,-0.315089,0.792969,0.950179,0.842098,0.999145,0.887846,0.7139,0.887555,0.780709,0.811631,2.03893,0.577681,1.02783,1.91179,0.640986,1.31409,1.01666,1.57542,1.30162,2.27667,-3.69746e-23,-6.96749,1.33276,1.35679,1.56679,1.36585,1.43978,1.55971,1.29989,1.29868,1.33665,1.342,1.33694,1.34095,1.31479,1.29074,1.29983,1.48944,1.25114,1.57057,1.29238,1.3262,1.27975,0.487187,0.313339,0.570261,0.224911,0.570397,0.593498,0.401601,0.494217,2.55586,2.58156,2.7187,2.57084,2.76118,2.63923,2.69423,2.63283,1.30644,0.611419
74.7485,0.814981,0.050284,6,63,0,-60.2325,0.366052,0.500862,0.499138,0.327509,0.0785807,0.593911,0.0185166,0.15932,1.58563,-0.366592,1.09998,-0.0657057,-0.216074,0.0267158,1.52836,1.11689,-1.61912,-0.428805,0.53838,-0.538187,0.330411,0.81927,0.997049,0.792888,0.937685,0.973091,0.734118,0.985978,0.810766,0.518967,0.367497,1.31159,0.46044,0.527724,0.902265,0.598239,1.45832,2.01905,1.32751,1.44538,-1.40768e-305,-0.000158659,1.37386,1.38067,1.653,1.36536,1.43976,1.55913,1.31211,1.31701,1.30419,1.338,1.33848,1.34033,1.36643,1.32955,1.31827,1.40272,1.16368,1.61923,1.33353,1.32526,1.34511,0.484185,0.279276,0.570484,0.215931,0.509227,0.596916,0.295728,0.50625,2.54942,2.5147,2.71922,2.55381,2.62277,2.64707,2.47947,2.65933,1.50186,0.483386
