# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AlsingReconstruction_model
# start_datetime = 2025-04-13 00:26:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/by/tlp8gdq17q72kgysbfmtlzp40000gn/T/tmpatiag3zh/2ba1nxf6.json
# init = 2 (Default)
# random
#   seed = 25289
# output
#   file = /Users/aryannaschiebelbein/Library/CloudStorage/OneDrive-UniversityofToronto/AlsingNSMassReplication_gaps/aryanna/debug_output/AlsingReconstruction-20250412202606_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=AlsingReconstruction.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,dmmax,As.1,As.2,delta_mus.1,delta_mus.2,delta_mus.3,sigmas.1,sigmas.2,mp_gaussian_raw.1,mp_gaussian_raw.2,mp_gaussian_raw.3,mp_gaussian_raw.4,mp_gaussian_raw.5,mp_gaussian_raw.6,mp_gaussian_raw.7,mp_gaussian_raw.8,mp_gaussian_raw.9,mp_gaussian_raw.10,mp_gaussian_raw.11,mp_gaussian_raw.12,mp_gaussian_raw.13,mp_mt_raw.1,mp_mt_raw.2,mp_mt_raw.3,mp_mt_raw.4,mp_mt_raw.5,mp_mt_raw.6,mp_mt_raw.7,mp_mt_raw.8,mt_raw.1,mt_raw.2,mt_raw.3,mt_raw.4,mt_raw.5,mt_raw.6,mt_raw.7,mt_raw.8,mmax,mus.1,mus.2,log_norms.1,log_norms.2,mp_gaussian.1,mp_gaussian.2,mp_gaussian.3,mp_gaussian.4,mp_gaussian.5,mp_gaussian.6,mp_gaussian.7,mp_gaussian.8,mp_gaussian.9,mp_gaussian.10,mp_gaussian.11,mp_gaussian.12,mp_gaussian.13,mp_mt.1,mp_mt.2,mp_mt.3,mp_mt.4,mp_mt.5,mp_mt.6,mp_mt.7,mp_mt.8,mp_mt_logjac.1,mp_mt_logjac.2,mp_mt_logjac.3,mp_mt_logjac.4,mp_mt_logjac.5,mp_mt_logjac.6,mp_mt_logjac.7,mp_mt_logjac.8,mt.1,mt.2,mt.3,mt.4,mt.5,mt.6,mt.7,mt.8,mp_draw,x
# Adaptation terminated
# Step size = 0.0368519
# Diagonal elements of inverse mass matrix:
# 5.30342, 0.620376, 0.030576, 4.40479, 1.24489, 1.53965, 0.975901, 0.531433, 1.01571, 0.902785, 1.20485, 1.00302, 0.788108, 0.573323, 0.971405, 0.884493, 1.13016, 0.942626, 0.339354, 4.90774, 5.38222, 0.825694, 7.05848, 1.07538, 0.539343, 3.84987, 1.93803, 1.04575, 1.62707, 1.22196, 1.32106, 1.23847, 1.68076, 0.426109, 1.24978
57.5678,0.975154,0.0368519,7,127,0,-39.0959,0.0467765,0.298789,0.701211,0.398327,0.0410474,0.560626,0.238586,0.172445,-0.178284,-0.386471,0.296077,0.585799,-0.0837574,-2.03799,-0.386064,1.16208,1.02589,-0.825407,0.311844,0.494709,1.04995,0.995851,0.998564,0.860561,0.998548,0.89383,0.797639,0.948767,0.915247,1.37772,1.02826,1.57165,1.17146,0.650184,0.171587,0.0226649,1.43586,1.67716,1.39833,1.4599,-0.129274,-0.109656,1.35622,1.37908,1.62888,1.36673,1.43978,1.54881,1.30446,1.31972,1.33328,1.33522,1.33832,1.34085,1.424,1.63038,1.33834,1.52256,1.25322,1.49562,1.4351,1.16203,1.51752,0.492971,0.292865,0.570563,0.227173,0.514778,0.58733,0.202758,0.505641,2.56831,2.54113,2.7194,2.57514,2.63502,2.62515,2.3068,2.65798,0.716346,0.216425
60.2161,0.605192,0.0368519,7,127,0,-39.5609,0.861944,0.485198,0.514802,0.340392,0.126163,0.533445,0.0665655,0.1788,0.94122,0.462071,-1.07239,0.125678,0.130354,1.9829,1.17064,-0.293287,-0.450423,-0.206221,-0.111633,-0.685382,-1.31522,0.997651,0.999633,0.856592,0.940208,0.771355,0.756251,0.982883,0.762957,0.420877,1.72808,0.183026,0.602552,0.85957,0.196577,0.416962,0.420313,2.47935,1.34039,1.52964,-6.21227e-66,-5.43286e-08,1.36741,1.44697,1.58783,1.36576,1.43983,1.56891,1.31068,1.2324,1.31705,1.33956,1.33802,1.34026,1.23478,1.61741,1.35895,1.5149,1.16945,1.30291,1.36108,1.28402,1.23024,0.483177,0.307081,0.570141,0.218187,0.524207,0.58766,0.267264,0.477759,2.54726,2.56912,2.71843,2.55808,2.65596,2.6259,2.42509,2.59705,1.27251,0.240558
64.1137,0.987399,0.0368519,7,127,0,-45.596,0.00126432,0.564884,0.435116,0.347217,0.575921,0.0768618,0.0565934,0.240728,-0.189574,0.707989,0.329238,-0.840503,-0.519199,-1.43547,-1.23676,1.11803,0.261864,-1.01562,0.290354,0.242014,0.289164,0.883607,0.997087,0.718604,0.991147,0.919246,0.762108,0.987319,0.96829,0.859975,0.829833,0.58444,0.957108,1.26041,1.39726,0.224346,0.0554629,1.63114,1.34722,2.2111,-2.62537e-07,-4.82905,1.3561,1.46664,1.62988,1.36373,1.4397,1.55182,1.30105,1.31708,1.32488,1.33389,1.3383,1.34072,1.36313,1.43899,1.33094,1.27102,1.23974,1.58064,1.39333,1.25038,1.54549,0.487682,0.288801,0.570263,0.223795,0.542033,0.603361,0.236212,0.467567,2.55692,2.53319,2.71871,2.56871,2.69604,2.66192,2.3673,2.57516,1.2199,0.443572
67.4052,0.995848,0.0368519,7,127,0,-51.5681,0.0071765,0.750166,0.249834,0.314009,0.406973,0.279018,0.0589852,0.434287,0.252789,0.883566,-0.877917,-0.000655253,0.171081,-0.359809,-1.30916,0.252277,-0.45704,0.276843,-0.632911,-0.223045,-0.00592762,0.796408,0.997499,0.803104,0.990371,0.8781,0.717216,0.99572,0.913212,1.98335,1.5025,0.447212,1.15323,1.97629,1.10104,0.244951,0.0897516,1.60084,1.31401,1.92447,-5.78856e-07,-1.4781,1.36053,1.48069,1.59366,1.3655,1.43983,1.5572,1.30076,1.26514,1.31697,1.34294,1.33766,1.34049,1.33953,1.31191,1.34988,1.42042,1.24261,1.55764,1.30621,1.26527,1.45899,0.499125,0.302518,0.570222,0.226886,0.573167,0.599509,0.239574,0.468529,2.58163,2.5601,2.71861,2.5746,2.76763,2.65303,2.37349,2.57722,1.27019,0.204996
60.4304,0.898592,0.0368519,7,127,0,-46.6397,0.0061399,0.664628,0.335372,0.33163,0.569893,0.0984772,0.0735978,0.130831,0.191386,-1.11624,-0.658423,2.30954,0.42146,-0.264985,-1.45126,-0.244623,-0.834261,-0.603781,-0.801931,0.233519,-1.0114,0.816858,0.999607,0.854967,0.982546,0.898284,0.749294,0.864667,0.993468,0.357077,0.344904,0.21338,0.753762,0.583772,0.976281,2.54984,0.280644,1.60639,1.33163,2.18647,-9.4523e-05,-12.2833,1.35991,1.3207,1.60025,1.37035,1.43988,1.55768,1.30019,1.23532,1.31282,1.33677,1.33754,1.34072,1.25909,1.32344,1.32104,1.51204,1.22504,1.49856,1.36241,1.51943,1.5957,0.482521,0.278809,0.570151,0.220582,0.511771,0.597882,0.563743,0.473869,2.54586,2.5138,2.71845,2.56261,2.62838,2.64929,3.06495,2.58867,1.31032,0.0155402
63.6512,1,0.0368519,7,127,0,-37.1548,0.0324946,0.63308,0.36692,0.342956,0.437472,0.219571,0.0551054,0.456724,-0.52955,-0.225702,-0.650716,-0.662185,0.00763915,1.50427,-0.263214,1.55928,0.350985,0.16453,1.15122,-0.457705,1.82734,0.822489,0.997917,0.921374,0.985694,0.98828,0.757637,0.998923,0.928228,1.36989,0.735157,0.666725,0.609642,0.598599,0.108595,0.116905,0.813256,1.68229,1.34296,1.99916,-3.68384e-10,-1.41099,1.3527,1.39194,1.60048,1.36411,1.4398,1.56652,1.30495,1.34356,1.32586,1.34215,1.33891,1.34037,1.48619,1.34645,1.32946,1.6297,1.22616,1.6498,1.36199,1.24289,1.51309,0.492891,0.286857,0.570288,0.218299,0.512443,0.5865,0.218513,0.488631,2.56814,2.52941,2.71877,2.55829,2.62986,2.62326,2.33507,2.62063,1.36625,0.198215
