Unnamed: 0.1,Unnamed: 0,Name,m1,m1_uerr,m1_lerr,m2,m2_uerr,m2_lerr,f,m_T,m_T_err,q,q_err,type,reference,catalog,m1_err_lower,m1_err_upper,m2_err_lower,m2_err_upper,ecc
49,49.0,J1411+2551,,,,,,,0.12239,2.538,0.022,,,NS-NS,\cite{Martinez2017},Fan,,,,,
50,50.0,J1946+2052,,,,,,,0.268184,2.5,0.04,,,NS-NS,\cite{Swiggum2015},Fan,,,,,
51,51.0,J1518+4904,1.41,0.08,0.08,1.31,0.08,0.08,0.115988,2.7183,0.0007,,,NS-NS,\cite{Janssen2008},Fan,,,,,
52,52.0,J1930-1852,,,,,,,0.346908,2.54,0.03,,,NS-NS,\cite{Swiggum2015},Fan,,,,,
53,53.0,B2127+11C,1.358,0.01,0.01,1.354,0.01,0.01,,,,,,NS-NS,\cite{Jacoby06},You,1.348,1.368,1.344,1.364,0.681
54,54.0,B1534+12,1.333,0.0002,0.0002,1.3455,0.0002,0.0002,,,,,,NS-NS,\cite{FonsecaB1534},You,1.3328,1.3332,1.3453,1.3457,0.274
55,55.0,J1811-1736,,,,,,,0.128121,2.57,0.1,,,NS-NS,\cite{Corongiu2007},Fan,,,,,
56,56.0,J1913+1102,1.62,0.03,0.03,1.27,0.03,0.03,,,,,,NS-NS,\cite{Ferdman20},You,1.59,1.65,1.24,1.3,0.09
57,57.0,J1759+5036,,,,,,,0.081768,2.62,0.03,,,NS-NS,\cite{Agazie2021},Fan,,,,,
58,58.0,J1807-2500B,1.3655,0.0021,0.0021,1.2064,0.0021,0.0021,,,,,,NS-NS,\cite{Lynch12},You,1.3634,1.3676,1.2043,1.2085,0.747
59,59.0,B1913+16,1.4398,0.0002,0.0002,1.3886,0.0002,0.0002,,,,,,NS-NS,\cite{Weisberg10},You,1.4396,1.44,1.3884,1.3888,0.617
60,60.0,J1018-1523,,,,,,,0.238062,2.3,0.3,,,NS-NS,\cite{Swiggum2022},Fan,,,,,
61,61.0,J0453+1559,1.559,0.005,0.005,1.174,0.004,0.004,,,,,,NS-NS,\cite{Martinez15},You,1.554,1.564,1.17,1.178,0.113
62,62.0,J1325-6253,,,,,,,0.141517,2.57183,0.06,,,NS-NS,\cite{Sengar2022},Fan,,,,,
63,63.0,J1829+2456,1.306,0.004,0.004,1.299,0.004,0.004,,,,,,NS-NS,\cite{PSRJ1829mass},You,1.302,1.31,1.295,1.303,0.139
64,64.0,J0514-4002A,1.25,0.06,0.06,1.22,0.06,0.06,,,,,,NS-NS,\cite{Ridolfi19_J0514a},You,1.19,1.31,1.16,1.28,0.888
65,65.0,J1906+0746,1.322,0.011,0.011,1.291,0.011,0.011,,,,,,NS-NS,\cite{PSR1906},You,1.311,1.333,1.28,1.302,0.085
66,66.0,J1756-2251,1.341,0.007,0.007,1.23,0.007,0.007,,,,,,NS-NS,\cite{FerdmanPSR1756},You,1.334,1.348,1.223,1.237,0.181
67,67.0,J0737-3039A,1.3381,0.0007,0.0007,1.2489,0.0007,0.0007,,,,,,NS-NS,\cite{Kramer06Sci},You,1.3374,1.3388,1.2482,1.2496,0.088
68,68.0,J1757-1854,1.3406,0.0005,0.0005,1.3922,0.0005,0.0005,,,,,,NS-NS,\cite{Cameron22_PSRJ1757},You,1.3401,1.3411,1.3917,1.3927,0.606
69,69.0,J0509+3801,1.34,0.08,0.08,1.46,0.08,0.08,,,,,,NS-NS,\cite{Lynch0509},You,1.26,1.42,1.38,1.54,0.586
130,130.0,J0553-1349,1.33,0.05,0.05,0.98,0.06,0.06,,,,,,Gaia,,El-Badry,1.28,1.38,0.92,1.04,0.3879
131,131.0,J2057-4742,1.31,0.04,0.04,1.048,0.031,0.031,,,,,,Gaia,,El-Badry,1.27,1.35,1.017,1.079,0.3095
132,132.0,J1553-6846,1.323,0.032,0.032,1.04,0.05,0.05,,,,,,Gaia,,El-Badry,1.291,1.355,0.99,1.09,0.5314
133,133.0,J2102+3703,1.44,0.04,0.04,1.03,0.03,0.03,,,,,,Gaia,,El-Badry,1.4,1.48,1.0,1.06,0.448
134,134.0,J0742-4749,1.28,0.04,0.04,0.9,0.05,0.05,,,,,,Gaia,,El-Badry,1.24,1.32,0.85,0.95,0.168
135,135.0,J0152-2049,1.291,0.024,0.024,0.782,0.03,0.03,,,,,,Gaia,,El-Badry,1.267,1.315,0.752,0.812,0.6615
136,136.0,J0003-5604,1.34,0.04,0.04,0.802,0.03,0.03,,,,,,Gaia,,El-Badry,1.3,1.38,0.772,0.832,0.795
137,137.0,J1733+5808,1.362,0.03,0.03,1.16,0.05,0.05,,,,,,Gaia,,El-Badry,1.332,1.392,1.11,1.21,0.3093
138,138.0,J1150-2203,1.39,0.04,0.04,1.18,0.06,0.06,,,,,,Gaia,,El-Badry,1.35,1.43,1.12,1.24,0.552
139,139.0,J1449+6919,1.261,0.032,0.032,0.91,0.05,0.05,,,,,,Gaia,,El-Badry,1.229,1.293,0.86,0.96,0.2668
140,140.0,J0217-7541,1.396,0.033,0.033,0.996,0.033,0.033,,,,,,Gaia,,El-Badry,1.363,1.429,0.963,1.029,0.3228
141,141.0,J0639-3655,1.7,0.07,0.07,1.32,0.06,0.06,,,,,,Gaia,,El-Badry,1.63,1.77,1.26,1.38,0.721
142,142.0,J1739+4502,1.38,0.04,0.04,0.778,0.03,0.03,,,,,,Gaia,,El-Badry,1.34,1.42,0.748,0.808,0.6777
